Nombre,Localidad,Calidad,Teléfono,Dirección,Email,WEB,Postal Code,Tipo de Restauración,Coordenadas GPS,LATWGS84,LONWGS84,tag1,tag2,tag3
Agorregi,Donostia / San Sebastián,0.0,943 224 328,"Portuetxe, 14",agorregi@agorregi.com,https://agorregi.com/,20018.0,Restaurante,"43.30240464,-2.011846",43.30240464,-2.011846,gastronomia,tradicional,euskaldun
Aizian,Bilbao,1.0,944 280 039,"Lehendakari Leizaola, 29. (H. Meliá Bilbao)",aizian@restaurante-aizian.com,https://www.restaurante-aizian.com/,48001.0,Restaurante,"43.26751936,-2.94180662",43.26751936,-2.94180662,gastronomia,moderno,indoor
Akelarre,Igeldo,0.0,943 311 209,"Padre Orcolaga, 56",restaurante@akelarre.net,http://www.akelarre.net,20008.0,Restaurante,"43.3077501796958,-2.0431346731414806",43.3077501796958,-2.043134673141481,gastronomia,moderno,rooftop
Alameda,,0.0,943 642 789,"Minasorroeta, 1",info@restaurantealameda.net,https://restaurantealameda.net/,20280.0,Restaurante,"43.36124178,-1.79269146",43.36124178,-1.79269146,gastronomia,moderno,indoor
Almiketxu,Almika,0.0,946 880 925,"Almike Auzoa, 8",almiketxu@gmail.com,https://almiketxu.com/,48370.0,Restaurante,"43.40890469,-2.73422921",43.40890469,-2.73422921,gastronomia,comercio_local,tradicional
Ameztoi,Eitzaga,0.0,943 140 918,"Barrio Eitzaga, 11",ameztoi@txakoliameztoi.com,https://txakoliameztoi.com/,20808.0,Bodega Txakoli,"43.29407126000001,-2.202422972883369",43.29407126000001,-2.202422972883369,gastronomia,comercio_local,outdoor
Andere,Vitoria-Gasteiz,0.0,945 214 930,"Gorbea, 8",info@restauranteandere.com,https://www.restauranteandere.com/,1008.0,Restaurante,"42.849356605632124,-2.6795801790984797",42.84935660563213,-2.67958017909848,gastronomia,moderno,indoor
Andra Mari,Elexalde,1.0,944 560 005,"Bº Elexalde, 22",andramari@andra-mari.com,https://andra-mari.com/es/index.php,48960.0,Restaurante,"43.23503044,-2.83249703",43.23503044,-2.83249703,gastronomia,tradicional,euskaldun
"Arabako Txakolina, S.L.",Amurrio,0.0,645 713 355,"Avenida Maskuribai, s/n",arabakotxakolina@euskalnet.net,http://www.xarmant.net/,1470.0,Bodega Txakoli,"43.04132267833563,-2.9996452780335403",43.04132267833563,-2.9996452780335403,gastronomia,comercio_local,outdoor
Aretxondo,Elexalde,0.0,944 567 671,"Bº Elexalde, 20",aretxondo@aretxondo.com,https://aretxondo.es/,48960.0,Restaurante,"43.23358348966164,-2.8327792843780553",43.23358348966164,-2.832779284378056,gastronomia,tradicional,euskaldun
Arkupe,Vitoria-Gasteiz,0.0,945 230 080,"Mateo Moraza, 13",reservas@restaurantearkupe.com,https://www.restaurantearkupe.com/,1001.0,Restaurante,"42.84701683,-2.67229971",42.84701683,-2.67229971,gastronomia,moderno,indoor
Arlobi,Sarria,0.0,945 430 212,"Elizalde, 31",,,1139.0,Restaurante,"42.968627,-2.8254722000000356",42.968627,-2.825472200000036,gastronomia,tradicional,indoor
Asador Nicolás,Tolosa,0.0,943 654 759,"Paseo Zumalakarregi, 7",info@asadorcasanicolas.com,https://asadornicolas.com/,20400.0,Asador,"43.0507807,-2.1744642",43.0507807,-2.1744642,gastronomia,tradicional,comercio_local
San Martin,Orio,0.0,943 580 058,"Barrio San Martín, s/n",info@asadorsanmartin.com,http://www.asadorsanmartin.com/,20810.0,Asador,"43.28076707095564,-2.1212947368621826",43.28076707095564,-2.1212947368621826,gastronomia,tradicional,euskaldun
Urkiola,Beasain,0.0,943 086 131,"Kale Nagusia, 7",,,20200.0,Asador,"43.04729034,-2.19531265",43.04729034,-2.19531265,gastronomia,tradicional,comercio_local
Astelena,Donostia / San Sebastián,0.0,943 425 867,"Calle Euskal Herria, 3",info@restauranteastelena.com,https://restauranteastelena.com/,20003.0,Restaurante,"43.32415624,-1.98247745",43.32415624,-1.98247745,gastronomia,moderno,indoor
Atalaia,Irun,0.0,943 629 433,"Aritz Ondo, 69 (Centro Comercial Txingudi)",info@hotelatalaia.com,https://hotelatalaia.com/restaurante,20305.0,Restaurante,"43.32238144,-1.83356007",43.32238144,-1.83356007,gastronomia,moderno,terraceo
Azkue,Meaga,0.0,943 830 554,Alto de Meagas,,https://hotelazkue.com/restaurante.php,20800.0,Restaurante,"43.28657468,-2.20608351",43.28657468,-2.20608351,gastronomia,tradicional,euskaldun
Azurmendi,,1.0,944 558 359,"Bº Legina, s/n",info@azurmendi.biz,https://azurmendi.restaurant/,48195.0,Restaurante,"43.26057330760114,-2.815940000327153",43.26057330760114,-2.815940000327153,gastronomia,moderno,bienestar
Baserri Maitea,Elexalde Forua,0.0,946 253 408,"Atxondo, s/n",baserrimaitea@baserrimaitea.com,https://www.baserrimaitea.com/,48393.0,Restaurante,"43.339609,-2.680343",43.339609,-2.680343,gastronomia,tradicional,euskaldun
Bedua,Oikia,0.0,943 860 551,Barrio Bedua,bedua@bedua.es,https://www.bedua.eus/,20750.0,Asador,"43.279111196115,-2.25432157516479",43.279111196115,-2.25432157516479,gastronomia,tradicional,euskaldun
Beldui Txakolina,,0.0,946 728 148,Beldio baserria. Gardea,enoturismobeldui@gmail.com,http://www.beldui.com/,1400.0,Bodega Txakoli,"43.130017989649744,-2.9881748196045237",43.130017989649744,-2.988174819604524,gastronomia,outdoor,comercio_local
Beltz,Bilbao,0.0,944 253 300,"Alameda Mazarredo, 61",reservations@hoteldominebilbao.com,,48009.0,Restaurante,"43.26753037,-2.93374754",43.26753037,-2.93374754,gastronomia,moderno,indoor
Berroja,,0.0,944 106 254,"Ajurias, Carretera de Zugastieta a Balcón de Bizkaia",info@bodegaberroja.com,https://bodegaberroja.com/,48392.0,Bodega Txakoli,"43.25230026871984,-2.6573364458938613",43.25230026871984,-2.6573364458938613,gastronomia,outdoor,comercio_local
Beti-Jai,Donostia / San Sebastián,0.0,943 441 944,"Fermín Calbetón, 22",info@betijaberria.es,https://betijaiberria.eus/,20003.0,Restaurante,"43.323312961612686,-1.984512114715244",43.323312961612686,-1.984512114715244,gastronomia,tradicional,euskaldun
Betixu,Iurreta,0.0,944 717 154,"Iturburu, 9",newbetixu@gmail.com,http://www.betixu.es/,48215.0,Restaurante,"43.17772937,-2.62707117",43.17772937,-2.62707117,gastronomia,tradicional,chill
Bideko,Lezama,0.0,945 890 633,"Bideko, s/n.",info@restaurantebideko.com,https://restaurantebideko.com/,1450.0,Restaurante,"43.02597196407113,-2.9559245873108466",43.02597196407113,-2.9559245873108466,gastronomia,tradicional,outdoor
Bodegas Tierra,Labastida/Bastida,0.0,605 672 313,"C/ El Olmo, 8",enoturismo@tierrayvino.com,https://tierrayvino.com/,1330.0,Bodega,"42.5915763,-2.7937385",42.5915763,-2.7937385,gastronomia,comercio_local,tradicional
Bodegas Amador García,Baños de Ebro/Mañueta,0.0,945 290 385,"Avda. Puente Río Ebro, 68-70",pilar@bodegasamadorgarcia.com,https://bodegasamadorgarcia.com/,1307.0,Bodega,"42.5309505,-2.6757809",42.5309505,-2.6757809,gastronomia,comercio_local,tradicional
Baigorri,Samaniego,0.0,945 609 420,"Ctra. Vitoria-Logroño, km 53",mail@bodegasbaigorri.com,https://bodegasbaigorri.com/,1307.0,Bodega,"42.570847,-2.7041234",42.570847,-2.7041234,gastronomia,comercio_local,outdoor
Bodegas Campillo,Laguardia,0.0,945 600 826,"Ctra. de Logroño, s/n.",visitas@familiamartinezzabala.com,https://visitabodegas.familiamartinezzabala.com/es/,1300.0,Bodega,"42.550298226887065,-2.575864791870117",42.550298226887065,-2.575864791870117,gastronomia,comercio_local,tradicional
Covila,Lapuebla de Labarca,0.0,945 627 232,"Camino del Soto, 26",bodegas@covila.es,http://www.covila.es,1306.0,Bodega,"42.48830197960227,-2.5784826278686523",42.48830197960227,-2.5784826278686523,gastronomia,comercio_local,outdoor
Dominio de Berzal,Baños de Ebro/Mañueta,0.0,945 623 368,"Termino Río Salado, s/n",info@dominioberzal.com,http://www.dominioberzal.com,1307.0,Bodega,"42.52946043430851,-2.6848268508911133",42.52946043430851,-2.6848268508911133,gastronomia,comercio_local,moderno
El Fabulista,Laguardia,0.0,945 621 192,"Plaza San Juan, s/n",info@bodegaelfabulista.com,https://bodegaelfabulista.com/,1300.0,Bodega,"42.55243269,-2.58447079",42.55243269,-2.58447079,gastronomia,comercio_local,chill
Espada Ojeda,Lapuebla de Labarca,0.0,945 627 349,"Avda. de la Póveda, 8",espadaojeda@telefonica.net,,1306.0,Bodega,"42.492289302635754,-2.575864791870117",42.49228930263576,-2.575864791870117,gastronomia,comercio_local,tradicional
Estraunza,Lapuebla de Labarca,0.0,945 627 245,"Avda. La Póveda, 25",contacto@bodegesestraunza.com,http://www.bodegasestraunza.com,1306.0,Bodega,"42.489979217882215,-2.578396797180176",42.489979217882215,-2.578396797180176,gastronomia,comercio_local,outdoor
Bodegas Faustino,Oyón-Oion,0.0,945 601 228,"Ctra. Logroño, s/n",visitas@familiamartinezzabala.es,https://visitabodegas.familiamartinezzabala.com/es/bodegas-faustino,1320.0,Bodega,"42.4951573,-2.4354658",42.4951573,-2.4354658,gastronomia,comercio_local,tradicional
